run,correctify,thr,precision,recall
attention_gates,True,0.4,0.8915372682063996,0.5904913719427293
attention_gates,True,0.45,0.9140672167438116,0.5670030824778897
attention_gates,True,0.5,0.9276763869602592,0.5388766720762073
attention_gates,True,0.55,0.936611554033567,0.5042684156447756
attention_gates,True,0.6,0.942163043264793,0.46068160212028386
attention_gates,True,0.65,0.9505595977126583,0.4102384359065462
attention_gates,True,0.7,0.956941293065227,0.35234354744231156
attention_gates,True,0.75,0.9609719939411518,0.2863343480223168
attention_gates,True,0.8,0.9655533269381704,0.2126429607152117
attention_gates,True,0.85,0.9659574468085106,0.12860942796508446
attention_gates,True,0.9,0.9807832644125517,0.038718226951035654
attention_gates,True,0.95,1.0,9.602734858887812e-06
attention_gates,True,1.0,0.0,0.0
attention_gates,False,0.0,0.0,0.0
attention_gates,False,0.05,0.22537564521407616,0.37693615141592324
attention_gates,False,0.1,0.314624243143773,0.6362003898710352
attention_gates,False,0.15,0.46690684692075834,0.754169987612472
attention_gates,False,0.2,0.5440328999028441,0.7850619856535141
attention_gates,False,0.25,0.6141753083065404,0.7814417546117134
attention_gates,False,0.3,0.6536508506677987,0.7688621719465704
attention_gates,False,0.35,0.6774131761551119,0.7471599911654839
attention_gates,False,0.4,0.6986014516098467,0.7080000384109394
attention_gates,False,0.45,0.7265787866663859,0.662675129876989
attention_gates,False,0.5,0.8035528215429038,0.6146422501128321
attention_gates,False,0.55,0.8405778770886912,0.5743683801146566
attention_gates,False,0.6,0.8704855806334756,0.5307239501810116
attention_gates,False,0.65,0.8807321772639691,0.48283511143973806
attention_gates,False,0.7,0.8880045930589376,0.4307210693605539
attention_gates,False,0.75,0.8772560727371421,0.3724612769716815
attention_gates,False,0.8,0.8520839523513681,0.302918271123616
attention_gates,False,0.85,0.7590501109528699,0.22007547749599085
attention_gates,False,0.9,0.6414061216667579,0.11248643613701183
attention_gates,False,0.95,0.6907630522088354,0.004955011187186111
attention_gates,False,1.0,0.0,0.0
attention_bottleneck,True,0.0,1.0,1.0253150280423661e-05
attention_bottleneck,True,0.05,0.4444800746290412,0.3126595646512391
attention_bottleneck,True,0.1,0.5253527209904981,0.3741477068829398
attention_bottleneck,True,0.15,0.604931867885381,0.44243368775056136
attention_bottleneck,True,0.2,0.6811267839133498,0.5055008151254473
attention_bottleneck,True,0.25,0.7391791146672493,0.5550645435810153
attention_bottleneck,True,0.3,0.7844725807108253,0.5927038582604506
attention_bottleneck,True,0.35,0.8205701046708866,0.6100829479857687
attention_bottleneck,True,0.4,0.8453685083882944,0.6163681291076684
attention_bottleneck,True,0.45,0.8697507756398118,0.6122258563943772
attention_bottleneck,True,0.5,0.8950098622392719,0.5908582912099742
attention_bottleneck,True,0.55,0.9106162746617,0.5664660466928464
attention_bottleneck,True,0.6,0.9239004989258003,0.5335226748418451
attention_bottleneck,True,0.65,0.9348452476625438,0.4890034963242456
